,brand,processor,screen_size,ROM,RAM,display_size,num_rear_camera,num_front_camera,battery_capacity,ratings,sales_price
393,4,2,0,0.25925925925925924,4,6.5,2,1,0.625,4.2,10099
394,4,4,1,0.25925925925925924,4,6.1,3,1,0.38250000000000006,4.3,12990
395,4,4,2,0.1111111111111111,3,6.0,1,1,0.3999999999999999,4.4,8565
396,4,4,1,0.25925925925925924,4,6.0,1,1,0.375,4.4,10999
397,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.4,12499
398,4,4,1,0.5555555555555556,6,6.3,2,1,0.375,4.4,15649
399,4,4,0,0.5555555555555556,8,6.7,3,1,0.625,4.149999999999999,34999
400,4,4,0,0.5555555555555556,8,6.7,3,1,0.625,4.2,36999
401,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,11490
402,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,14450
403,4,4,0,0.5555555555555556,6,6.7,4,1,0.6300000000000001,4.3,18778
404,4,4,1,0.25925925925925924,6,6.0,2,1,0.375,4.5,13400
405,4,4,1,0.1111111111111111,3,6.0,2,1,0.14500000000000002,4.5,9499
406,4,4,0,0.5555555555555556,6,6.7,3,1,0.625,4.2,32999
407,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,13990
408,4,4,0,1.0,8,6.7,4,1,0.5700000000000001,4.149999999999999,54499
409,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,13399
410,4,4,2,0.1111111111111111,3,6.0,2,1,0.375,4.3,10449
411,4,4,1,0.25925925925925924,6,6.3,2,1,0.375,4.5,13999
412,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,12900
413,4,4,1,0.25925925925925924,6,6.3,2,1,0.375,4.4,15999
414,4,4,0,0.5555555555555556,6,6.7,3,1,0.625,4.2,32999
415,4,4,2,0.25925925925925924,4,6.0,2,1,0.375,4.3,12499
416,4,4,2,0.25925925925925924,4,6.0,2,1,0.375,4.3,12349
417,4,4,0,0.5555555555555556,8,6.7,3,1,0.5050000000000001,4.149999999999999,36499
418,4,4,2,0.25925925925925924,4,6.0,2,1,0.14500000000000002,4.4,10490
419,4,2,2,0.1111111111111111,2,6.0,1,1,0.125,4.3,5742
420,4,4,0,0.5555555555555556,8,6.7,4,1,0.5800000000000001,4.3,24215
421,4,4,0,0.5555555555555556,4,6.7,2,1,0.6300000000000001,4.4,14199
422,4,4,0,0.5555555555555556,6,6.7,4,1,0.6300000000000001,4.3,14999
423,4,4,1,0.1111111111111111,3,6.3,2,1,0.375,4.4,8252
424,4,4,2,0.037037037037037035,2,6.0,1,1,0.20000000000000007,4.3,6890
425,4,4,2,0.1111111111111111,3,6.0,2,1,0.375,4.3,7999
426,4,4,2,0.25925925925925924,4,6.0,2,1,0.375,4.3,9699
427,4,4,0,0.5555555555555556,6,6.5,3,1,0.4375,4.2,21999
428,4,4,1,0.1111111111111111,3,6.2,2,1,0.625,4.2,8299
429,4,4,2,0.1111111111111111,3,6.0,2,1,0.375,4.3,8190
